CONSUMER_NAME,USER_NAME
bbt,bbt_user
silc,silc_user
accord,accord_user
cmc,cmc_user
cct,cct_user
ebmo,ebmo_user
enrich,enrich_user
iport,iport_user
magellan,magellan_user
ortems,ortems_user
eetif,eetif_user
