TIME_ID,BAS_DESC,BAS_YEAR,BAS_TYPE,BAS_PHARMA_FLAG,BAS_VACCIN_FLAG,BAS_ID,BAS_PREV_BASELINE,BAS_PREV_YEARLY
20240215,2024 Jan Monthly Baseline,2024,M,false,true,24101,23112,24000
20250205,2025 Jan Monthly Baseline,2025,M,false,true,25101,24112,25000
20241003,2024 Sep Monthly Baseline,2024,M,false,true,24109,24108,24000
20211201,2021 - TEMPO Archived Data,2021,H,false,true,21112,,
20251007,2025 Sep Monthly Baseline,2025,M,false,true,25109,25108,25000
20220405,2022 Mar Monthly Baseline,2022,M,false,true,22103,22102,22000
20211029,2021-10 - Monthly (P),2021,M,true,false,140,139,130
20220429,2022-04 - Monthly (P),2022,M,true,false,147,146,143
20230328,2023-03 - Quarterly (PRC),2023,Q,true,false,158,157,155
20231221,2024 - Yearly (PRC),2024,Y,true,false,167,166,155
20231031,2023-10 - Monthly (P),2023,M,true,false,165,164,155
20240404,2024 Mar Monthly Baseline,2024,M,false,true,24103,24102,24000
20250503,2025-04 - Monthly,2025,M,true,false,183,182,167
20220530,2022-05 - Monthly (P),2022,M,true,false,148,147,143
20240904,2024 Jul-Aug Monthly Baseline,2024,M,false,true,24108,24106,24000
20241103,2024-10 - Monthly,2024,M,true,false,177,176,167
20250103,2024-12 - Monthly,2024,Y,true,false,179,178,167
20250703,2025-06 - Monthly,2025,Q,true,false,185,184,167
20240213,2024 Yearly Baseline,2024,Y,false,true,24000,23112,23000
20241003,2024-09 - Monthly,2024,Q,true,false,176,175,167
20251103,2025 Oct Monthly Baseline,2025,M,false,true,25110,25109,25000
20250403,2025-03 - Monthly,2025,Q,true,false,182,181,167
20251022,C2 25 / B26-27 - VF,2025,B,false,true,25206,,25000
