MEDDRA_LLT_CODE,MEDDRA_LLT,SNOMED_CT_CODE,SNOMED_CT_FSN
10000845,Acute lymphoblastic leukemia,91857003,"Acute lymphoid leukemia, disease (disorder)"
10000846,Acute lymphocytic leukaemia,128822004,Precursor cell lymphoblastic leukemia (morphologic abnormality)
10000848,Acute lymphocytic leukemia,128822004,Precursor cell lymphoblastic leukemia (morphologic abnormality)
10000849,Acute lymphoid leukaemia,91857003,"Acute lymphoid leukemia, disease (disorder)"
10000878,Acute myeloblastic leukemia,91861009,Acute myeloid leukemia (disorder)
10000880,Acute myeloid leukaemia,91861009,Acute myeloid leukemia (disorder)
10000884,Acute myeloid leukaemia NOS,91861009,Acute myeloid leukemia (disorder)
10000886,Acute myeloid leukemia,91861009,Acute myeloid leukemia (disorder)
10000891,Acute myocardial infarction,57054005,Acute myocardial infarction (disorder)
10000928,"Acute myocardial infarction, unspecified site",57054005,Acute myocardial infarction (disorder)
10000937,Acute nasopharyngitis,82272006,Common cold (disorder)
10000938,Acute nasopharyngitis (common cold),82272006,Common cold (disorder)
10000948,"Acute oedema of lung, unspecified",40541001,Acute pulmonary edema (disorder)
10000952,Acute on chronic renal failure,236433006,Acute-on-chronic renal failure (disorder)
10000956,Acute or unspecified hepatitis C without mention of hepatic coma,50711007,Viral hepatitis type C (disorder)
10000959,Acute osteomyelitis,409780002,Acute osteomyelitis (disorder)
10000971,Acute pancreatitis,197456007,Acute pancreatitis (disorder)
10001002,Acute pharyngitis,363746003,Acute pharyngitis (disorder)
10001017,Acute prerenal failure,129561000119108,Pre-renal acute kidney injury (disorder)
10001019,Acute promyelocytic leukaemia,110004001,"Acute promyelocytic leukemia, FAB M3 (disorder)"
10001020,Acute promyelocytic leukemia,110004001,"Acute promyelocytic leukemia, FAB M3 (disorder)"
10001021,Acute prostatitis,79411002,Acute prostatitis (disorder)
10001022,Acute psychosis,69322001,Psychotic disorder (disorder)
10001024,Acute pulmonary edema,40541001,Acute pulmonary edema (disorder)
