RDM_NAME_NM,RDM_CODE_CD,MEDDRA_TERM,ACRONYM,ISACTIVE,CREATED_BY,CREATE_DATE_TS,UPDATED_BY,LAST_UPDATE_DATE_TS,SOURCE_SYSTEM
Hemophilia B-10082786,10082786,Hemophilia B,HEMOB,Yes,INF_BATCH,2025-03-04 17:15:57.168,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Type 1 diabetes mellitus stage 2-10091458,10091458,Type 1 diabetes mellitus stage 2,T1D-Stage2,Yes,INF_BATCH,2025-03-04 17:15:57.168,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Clinical trial healthy volunteer-10088820,10088820,Clinical trial healthy volunteer,CT-HV,Yes,INF_BATCH,2025-02-14 09:16:17.278,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Autoimmune hemolytic anemia-10003825,10003825,Autoimmune hemolytic anemia,AIHA,Yes,INF_BATCH,2025-01-31 19:16:17.907,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Primary progressive multiple sclerosis-10063401,10063401,Primary progressive multiple sclerosis,PPMS,Yes,INF_BATCH,2025-01-24 12:21:46.474,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Smoldering myeloma-10075894,10075894,Smoldering myeloma,SM,Yes,INF_BATCH,2025-01-24 12:21:46.474,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Secondary progressive multiple sclerosis-10063400,10063400,Secondary progressive multiple sclerosis,SPMS,Yes,INF_BATCH,2025-01-24 12:21:46.474,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Relapsed/refractory multiple myeloma-10086466,10086466,Relapsed/refractory multiple myeloma,RRMM,Yes,INF_BATCH,2025-01-24 12:21:46.474,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
GM1 gangliosidosis-10083308,10083308,GM1 gangliosidosis,GM1,Yes,INF_BATCH,2025-01-17 14:17:26.275,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Sialidosis-10058800,10058800,Sialidosis,SLDS,Yes,INF_BATCH,2025-01-17 14:17:26.275,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Osteogenesis imperfecta-10031243,10031243,Osteogenesis imperfecta,OI,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
Osteomyelitis-10031252,10031252,Osteomyelitis,OSTM,Yes,INF_BATCH,2024-07-05 08:48:47.437,INF_BATCH,2025-10-17 14:16:07.385,INF_R360
