ICD10_CHAPTER_NUMBER_2019_INTL_CORE_VER,ICD10_CHAPTER_2019_INTL_CORE_VER,ICD10_CODE_2019_INTL_CORE_VER,ICD10_TERM_2019_INTL_CORE_VER,MAPPED_MEDDRA_LLT,MAPPED_MEDDRA_LLT_CODE,MAP_ATTRIBUTE,MEDDRA_PT,MEDDRA_PT_CODE,MEDDRA_VER
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q18.9,"Congenital malformation of face and neck, unspecified",Dysmorphism,10066054,Loss of Information,Dysmorphism,10066054,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q20,Congenital malformations of cardiac chambers and connections,Heart malformation,10019293,Loss of Information,Heart disease congenital,10019273,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q20.0,Common arterial trunk,Truncus arteriosus persistent,10044703,Equivalent,Truncus arteriosus persistent,10044703,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q20.1,Double outlet right ventricle,Double outlet right ventricle,10013611,Equivalent,Double outlet right ventricle,10013611,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q20.2,Double outlet left ventricle,Double outlet left ventricle,10080133,Equivalent,Double outlet left ventricle,10080133,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q20.3,Discordant ventriculoarterial connection,Corrected transposition of great vessels,10011120,Equivalent,Corrected transposition of great vessels,10011120,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q20.4,Double inlet ventricle,Double inlet left ventricle,10082665,Equivalent,Double inlet left ventricle,10082665,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q20.5,Discordant atrioventricular connection,Discordant atrioventricular connection,10087159,Equivalent,Corrected transposition of great vessels,10011120,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q20.6,Isomerism of atrial appendages,Left atrial isomerism,10080600,Equivalent,Heterotaxia,10067265,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q20.8,Other congenital malformations of cardiac chambers and connections,Heart malformation,10019293,Loss of Information,Heart disease congenital,10019273,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q20.9,"Congenital malformation of cardiac chambers and connections, unspecified",Heart malformation,10019293,Loss of Information,Heart disease congenital,10019273,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q21,Congenital malformations of cardiac septa,Congenital cardiac septal defect,10062326,Equivalent,Cardiac septal defect,10064021,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q21.0,Ventricular septal defect,Ventricular septal defect,10047298,Equivalent,Ventricular septal defect,10047298,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q21.1,Atrial septal defect,Atrial septal defect,10003664,Equivalent,Atrial septal defect,10003664,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q21.2,Atrioventricular septal defect,Atrioventricular septal defect,10063836,Equivalent,Atrioventricular septal defect,10063836,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q21.3,Tetralogy of Fallot,Tetralogy of Fallot,10043384,Equivalent,Fallot's tetralogy,10016193,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q21.4,Aortopulmonary septal defect,Aorticopulmonary septal defect,10063732,Equivalent,Aorticopulmonary septal defect,10063732,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q21.8,Other congenital malformations of cardiac septa,Congenital cardiac septal defect,10062326,Equivalent,Cardiac septal defect,10064021,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q21.9,"Congenital malformation of cardiac septum, unspecified",Congenital cardiac septal defect,10062326,Equivalent,Cardiac septal defect,10064021,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q22,Congenital malformations of pulmonary and tricuspid valves,Congenital heart valve disorder,10064086,Loss of Information,Congenital heart valve disorder,10064086,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q22.0,Pulmonary valve atresia,Congenital pulmonary valve atresia,10052644,Equivalent,Congenital pulmonary valve atresia,10052644,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q22.1,Congenital pulmonary valve stenosis,Congenital pulmonary valve stenosis,10010603,Equivalent,Pulmonary valve stenosis congenital,10037451,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q22.2,Congenital pulmonary valve insufficiency,Congenital pulmonary valve disorder,10061075,Loss of Information,Congenital pulmonary valve disorder,10061075,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q22.3,Other congenital malformations of pulmonary valve,Congenital pulmonary valve disorder,10061075,Equivalent,Congenital pulmonary valve disorder,10061075,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q22.4,Congenital tricuspid stenosis,Congenital tricuspid valve stenosis,10010656,Equivalent,Congenital tricuspid valve stenosis,10010656,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q22.5,Ebstein anomaly,Ebstein's anomaly,10014075,Equivalent,Ebstein's anomaly,10014075,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q22.6,Hypoplastic right heart syndrome,Hypoplastic right heart syndrome,10064962,Equivalent,Hypoplastic right heart syndrome,10064962,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q22.8,Other congenital malformations of tricuspid valve,Congenital heart valve disorder,10064086,Loss of Information,Congenital heart valve disorder,10064086,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q22.9,"Congenital malformation of tricuspid valve, unspecified",Congenital heart valve disorder,10064086,Loss of Information,Congenital heart valve disorder,10064086,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q23,Congenital malformations of aortic and mitral valves,Congenital heart valve disorder,10064086,Loss of Information,Congenital heart valve disorder,10064086,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q23.0,Congenital stenosis of aortic valve,Congenital stenosis of aortic valve,10010636,Equivalent,Congenital aortic valve stenosis,10010371,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q23.1,Congenital insufficiency of aortic valve,Congenital insufficiency of aortic valve,10010515,Equivalent,Congenital aortic valve incompetence,10010370,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q23.2,Congenital mitral stenosis,Congenital mitral stenosis,10010546,Equivalent,Congenital mitral valve stenosis,10010548,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q23.3,Congenital mitral insufficiency,Congenital mitral insufficiency,10010545,Equivalent,Congenital mitral valve incompetence,10010547,v28.0
XVII,"Congenital malformations, deformations and chromosomal abnormalities",Q23.4,Hypoplastic left heart syndrome,Hypoplastic left heart syndrome,10021076,Equivalent,Hypoplastic left heart syndrome,10021076,v28.0
