PROJECT_CODE,PROJECT_CATEGORY,PROJECT_ORGANIZATION,PROJECT_NAME,PROJECT_DESCRIPTION,PROJECT_STATUS,PROJECT_PHASE,PROJECT_PRIORITY,PROJECT_INNOVATION_STATUS,PROJECT_RESEARCH_DEVELOPMENT_LINK,PROJECT_SANOFI_THERAPEUTIC_AREA,ASSET_INN,ASSET_BRAND_NAME,ASSET_MECHANISM_OF_ACTION,ASSET_MOA_SHORT_NAME,ASSET_ACTIVE_SUBSTANCE_TYPE,ASSET_ACTIVE_SUBSTANCE_SUBTYPE,ASSET_ORIGIN_OF_ACTIVE_SUBSTANCE,ASSET_PHARMACOLOGICAL_EFFECT,INDICATION_UNIQUE_CODE,INDICATION_LEAD_FLAG,INDICATION_LONGNAME,INDICATION_SHORTNAME,INDICATION_PHASE,INDICATION_CODE_MEDDRA,INDICATION_NAME_MEDDRA,INDICATION_STATUS,INDICATION_SANOFI_THERAPEUTIC_AREA,INDICATION_SANOFI_SUB_THERAPEUTIC_AREA_FRANCHISE,INDICATION_PTRS
LC81422,Research,PHARMA,NLRP3 sm - Next Generation (LC81422),LC81422 - NLRP3 sm - Next Generation,Ongoing,M1-M2,Regular Priority,BiC,,,,,NLRP3 sm - Next Generation,NLRP3 Next Gen,Synthetic,SM,Internal,Inhibition,LC81422_IND003,,Amyotrophic Lateral Sclerosis,ALS,,10002026,Amyotrophic lateral sclerosis,Ongoing,,,
GZ419829,Development,PHARMA,Myozyme/Lumizyme,GZ419829 - Acid alfa glucosidase,Completed,LCM,Standard,LCM project,,,alglucosidase alfa,Myozyme/Lumizyme,Acid alfa glucosidase,GAA (Myozyme),Biologics,REC,Acquired,Enzyme replacement therapy,GZ419829_IND002,FALSE,Pompe Disease - US label expansion,,LCM,10053185,Glycogen storage disease type II,Completed,Rare Diseases,,
GZ385660,Development,PHARMA,Cerdelga,GZ385660 - Glucosylceramide synthetase sm,Ongoing,LCM,Standard,Little / Uncertain differentiation,,,eliglustat,Cerdelga,Glucosylceramide synthetase sm,GCS,Synthetic,SM,Acquired,Inhibition,GZ385660_IND002,TRUE,Gaucher Disease Type I - Pediatric patients switching from ERT - 2-17 years,GD1 - Ped,LCM,10018048,Gaucher's disease,Ongoing,Rare Diseases,Metabolic Disorders,1
GZ402673,Development,PHARMA,Lemtrada,GZ402673 - Anti-CD52 mAb,Completed,LCM,Standard,LCM project,,,alemtuzumab,Lemtrada,Anti-CD52 mAb,CD52,Biologics,ANT,Acquired,Binding,GZ402673_IND001,TRUE,Relapsing and Remitting Multiple Sclerosis - Adult & Pediatric - 10-17 years,RRMS,LCM,10063399,Relapsing-remitting multiple sclerosis,Completed,Neurology,,1
SP0236,Development,VACCINE,Flu rec Pandemic,Influenza recombinant vaccine - Pandemic,Ongoing,Preclinical,Medium,BiC,,,,Panblok,Active immunization,,Biologics,REC,Acquired,,SP0236_IND001,FALSE,Indication for H7N9 Adult - STOPPED  - Did not meet Clinical Endpoints,H7 Adult,Termination,10022000,Influenza,Stopped,Vaccines,FLU,
SAR449124,Development,PHARMA,Redemplo,SAR449124 - Apolipoprotein C-III siRNA,Ongoing,LCM,Medium,FiC,,,plozasiran,Redemplo,Apolipoprotein C-III siRNA,APOC3 siRNA,Synthetic,OLIG,Licensed,Reduction,SAR449124_IND003,FALSE,Severe Hypertriglyceridemia at risk of Acute Pancreatitis- China,sHTG pancreatitis - CN,Phase 3,10020870,Hypertriglyceridemia,Ongoing,DCVM,Cardiovasc & Metabolism Disorders,0.68
LC81694,Research,PHARMA,CD19 x BCMA x Dectin1 Hybrid (MCE) (LC81694),LC81694 - CD19 x BCMA x Dectin1 Hybrid (MCE),Ongoing,M0-M1,Regular Priority,BiC,,,,,CD19 x BCMA x Dectin1 Hybrid (MCE),CD19xBCMAxDectin1 MCE,Biologics,HYB,Licensed,Cytotoxicity,LC81694_IND003,,Sjogren’s syndrome,Sjogren's,,10040767,Sjogren’s syndrome,Ongoing,,,
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND016,FALSE,Warm Autoimmune Hemolytic Anemia - Mono,wAIHA,Phase 2,10002034,Anaemia,Stopped,Rare Diseases,Immune Mediated Blood Disorders,
LC81404,Research,PHARMA,GREM1 x TGFb1/3 mAb (LC81404),LC81404 - GREM1 x TGFb1/3 mAb,Ongoing,M0-M1,Regular Priority,FiC,,,,,GREM1 x TGFb1/3 mAb,GREM1xTGFb1/3,Biologics,ANT,Internal,Inhibition,LC81404_IND001,TRUE,Progressive Fibrosing Interstitial Lung Disease,PF-ILD,,10022611,Interstitial lung disease,Ongoing,Immuno-inflammation,Respiratory,
GZ402671,Development,PHARMA,venglustat,GZ402671 - GCS sm - 2nd generation,Ongoing,Phase 3,Standard,FiC,,,venglustat,,GCS sm - 2nd generation,GCS 2nd gen,Synthetic,SM,Acquired,Inhibition,GZ402671_IND010,FALSE,Gaucher Disease Type 3 - Mono - Adult & Ped,,,10018048,Gaucher's disease,Stopped,Rare Diseases,,
SAR236553,Development,PHARMA,Praluent,SAR236553 - Anti-PCSK-9 mAb,Completed,LCM,Standard,LCM project,,,alirocumab,Praluent,Anti-PCSK-9 mAb,PCSK9,Biologics,ANT,Licensed,Binding,SAR236553_IND008,FALSE,LDL-C reduction China,LDL-C reduc - CN,LCM,10020603,Hypercholesterolaemia,Completed,DCVM,,1
SP0171,Development,VACCINE,Flu EU QIV IM,Quadrivalent Influenza Vaccine Vaxigrip IM ,Completed,Post-Launch,,Little / Uncertain differentiation,,,,VaxigripTetra,Active immunization,,Biologics,IAV,Internal,,SP0171_IND003,FALSE,Multidose (MDV),MDV,,10021430,Immunisation,Completed,Vaccines,FLU,
SP0232,Development,VACCINE,RSV mAb,Respiratory syncytial virus mAb,Completed,Post-Launch,,FiC,,,nirsevimab,Beyfortus,Active immunization,,Biologics,ANT,Licensed,,SP0232_IND002,TRUE,Nirsevimab Global (RSV mAb),RSV,Post-Launch,10021430,Immunisation,Completed,Vaccines,RSV,1
SAR236553,Development,PHARMA,Praluent,SAR236553 - Anti-PCSK-9 mAb,Completed,LCM,Standard,LCM project,,,alirocumab,Praluent,Anti-PCSK-9 mAb,PCSK9,Biologics,ANT,Licensed,Binding,SAR236553_IND010,FALSE,CV event reduction - China,,LCM,10064939,Cardiovascular event prophylaxis,Completed,DCVM,,1
SP0171,Development,VACCINE,Flu EU QIV IM,Quadrivalent Influenza Vaccine Vaxigrip IM ,Completed,Post-Launch,,Little / Uncertain differentiation,,,,VaxigripTetra,Active immunization,,Biologics,IAV,Internal,,SP0171_IND002,FALSE,6-35m,6-35m,,10021430,Immunisation,Completed,Vaccines,FLU,
LC81391,Research,PHARMA,STAT6 sm - SH2 - Premier and Additional Frontrunners (LC81391),LC81391 - STAT6 sm - SH2 - Premier and Additional Frontrunners,Ongoing,M1-M2,High Priority,FiC,SAR448755,SAR448755,,,STAT6 sm - SH2 - Premier and Additional Frontrunners,STAT6 - SH2 - Prem + Add FR,Synthetic,SM,Licensed,Inhibition,LC81391_IND002,TRUE,Atopic Dermatitis - Additional Frontrunner,AD - Add Frontrunner,,10012438,Dermatitis atopic,Ongoing,Immuno-inflammation,Dermatology,
XC01152,Research,PHARMA,NK Cell Therapy - CD38 knock-out (XC01152),XC01152 - NK Cell Therapy - CD38 knock-out,Completed,M1-M2,Fast Track,FiC,SAR446661,SAR446661,,,NK Cell Therapy - CD38 knock-out,NK Cell CD38KO,Cell Therapy,CELLS,Acquired,Cytotoxicity,XC01152_IND001,TRUE,Discovery,,,10028228,Multiple myeloma,Completed,Oncology,,
LC81690,Research,PHARMA,SIRPa x TIM3 Hybrid (LC81690),LC81690 - SIRPa x TIM3 Hybrid,Ongoing,M0-M1,Regular Priority,FiC,,,,,SIRPa x TIM3 Hybrid,SIRPa xTIM3,Biologics,HYB,Internal,Agonism,LC81690_IND002,,Ulcerative Colitis,UC,,10009900,Colitis ulcerative,Ongoing,,,
SAR153191,Development,PHARMA,Kevzara,SAR153191 - IL6R mAb,Ongoing,LCM,Standard,Little / Uncertain differentiation,,,sarilumab,Kevzara,IL6R mAb,IL6R,Biologics,ANT,Licensed,Inhibition,SAR153191_IND013,FALSE,Rheumatoid Arthritis - Japan,RA - JP,,10039073,Rheumatoid arthritis,Stopped,Immuno-inflammation,,
GZ402666,Development,PHARMA,Nexviazyme,GZ402666 - GAA recombinant protein,Ongoing,LCM,Standard,BiC,,,avalglucosidase alfa,Nexviazyme,GAA recombinant protein,Neo GAA,Biologics,REC,Acquired,Enzyme replacement therapy,GZ402666_IND002,TRUE,Infantile Onset Pompe Disease,IOPD,Phase 3,10053185,Glycogen storage disease type II,Ongoing,Rare Diseases,Neuromuscular Diseases,0.87
SAR439774,Development,PHARMA,Qfitlia,SAR439774 - Antithrombin III siRNA,Ongoing,LCM,Standard,FiC,,,fitusiran,Qfitlia,Antithrombin III siRNA,ATIII siRNA,Synthetic,OLIG,Licensed,Lowering,SAR439774_IND003,FALSE,Hemophilia A/B - On-Demand / Prophy,,,10066439,Hemophilia,Stopped,Rare Diseases,,
SAR231893,Development,PHARMA,Dupixent,SAR231893 - IL4R mAb,Ongoing,LCM,High,FiC,,,dupilumab,Dupixent,IL4R mAb,IL4R,Biologics,ANT,Licensed,Inhibition,SAR231893_IND027,FALSE,Atopic Dermatitis - Ped - 6 months-14 years - Japan,AD - Ped - JP,LCM,10012438,Dermatitis atopic,Completed,Immuno-inflammation,Dermatology,1
SAR445877,Development,PHARMA,PD1xIL15,SAR445877 - PD1 x IL15 fusion protein,Ongoing,Phase 2,GATE,FiC,,,,,PD1 x IL15 fusion protein,PD1xIL15,Biologics,FUP,Internal,Immune stimulation,SAR445877_IND008,FALSE,2L Gastric cancer - Mono,2L GC,Initiation,10017758,Gastric cancer,Ongoing,Oncology,Other Solid Tumors,0.08
LC81408,Research,PHARMA,GPR183 sm (LC81408),LC81408 - GPR183 sm,Ongoing,M1-M2,Regular Priority,BiC,,,,,GPR183 sm,GPR183,Synthetic,SM,Licensed,Inhibition,LC81408_IND003,,Hidradenitis Suppurativa,HS,,10020041,Hidradenitis suppurativa,Ongoing,,,
SAR231893,Development,PHARMA,Dupixent,SAR231893 - IL4R mAb,Ongoing,LCM,High,FiC,,,dupilumab,Dupixent,IL4R mAb,IL4R,Biologics,ANT,Licensed,Inhibition,SAR231893_IND008,FALSE,Asthma - Ped - 2-5 years,Asthma - Ped 2-5y,Phase 3,10003553,Asthma,Ongoing,Immuno-inflammation,Respiratory,0.72
SAR448289,Development,PHARMA,TFRCx aC1s,SAR448289 - TFRC x aC1s mAb,Ongoing,Preclinical,GATE,FiC,LC81317,LC81317,,,TFRC x aC1s mAb,TFRCx aC1s,Biologics,ANT,Internal,Blocking,SAR448289_IND001,TRUE,Alzheimer's disease,Alzheimer,Preclinical,10001896,Alzheimer's disease,Ongoing,Neurology,Neurodegenerative diseases,0.09
AVE0010,Development,PHARMA,Lyxumia/Adlyxin,AVE0010 - GLP1R peptide,Completed,LCM,Standard,LCM project,,,lixisenatide,Lyxumia/Adlyxin,GLP1R peptide,GLP1R,Synthetic,PEP,Licensed,Agonism,AVE0010_IND004,FALSE,Lyxumia - T2DM - Immediate Release - ELIXA final Results - EU Type 2 Variation,,LCM,10067585,Type 2 diabetes mellitus,Completed,DCVM,,1
SAR447873,Development,PHARMA,Dotamtate,SAR447873 - SSTR sm - Alpha emitter therapy,Ongoing,Phase 2,GATE,FiC,,,,,SSTR sm - Alpha emitter therapy,Dotamtate,Synthetic,SM,Licensed,Cytotoxicity,SAR447873_IND001,TRUE,GastroEnteroPancreatic & NeuroEndocrine Tumors,GEP-NET,Phase 2,10062476,Neuroendocrine tumor,Stopped,Oncology,Other Solid Tumors,0.97
SP0047,Development,VACCINE,MenQuadfi,Neisseria meninigitidis (ACWY) conjugate tetanus toxoid vaccine,Ongoing,Post-Launch,High,Little / Uncertain differentiation,,,,MenQuadfi,Active immunization,,Biologics,GCV,Internal,,SP0047_IND002,TRUE,Meningococcal (ACWY) disease - Pediatric 6w+,Meningococcal (ACWY) disease - Ped 6w+,Post-Licence,10004049,Bacterial meningitis,Ongoing,Vaccines,PMED_Pneumo Meningitis,1
SAR441344,Development,PHARMA,frexalimab,SAR441344 - CD40L mAb,Ongoing,Phase 3,High,BiC,XC01129,XC01129,frexalimab,,CD40L mAb,CD40L,Biologics,ANT,Internal,Antagonism,SAR441344_IND005,FALSE,"Type 1 Diabetes, Stage 3 - Newly diagnosed",T1D Stage 3 Newly Diagn,Phase 2,10091460,Type 1 diabetes mellitus stage 3,Ongoing,DCVM,T1 Diabetes,0.15
ALX0081,Development,PHARMA,Cablivi,ALX0081 - vWF Nanobody VHH,Completed,LCM,Standard,FiC,,,caplacizumab,Cablivi,vWF Nanobody VHH,vWF VHH,Biologics,NBDY,Acquired,Inhibition,ALX0081_IND001,FALSE,Acquired Thrombotic Thrombocytopenic Purpura - JP,aTTP - JP,LCM,10043648,Thrombotic thrombocytopenic purpura,Completed,Rare Diseases,Immune Mediated Blood Disorders,1
SAR231893,Development,PHARMA,Dupixent,SAR231893 - IL4R mAb,Ongoing,LCM,High,FiC,,,dupilumab,Dupixent,IL4R mAb,IL4R,Biologics,ANT,Licensed,Inhibition,SAR231893_IND025,FALSE,Ulcerative Colitis,UC,Phase 2,10009900,Colitis ulcerative,Stopped,Immuno-inflammation,Gastroenterology,0.32
SAR445229,Development,PHARMA,amlitelimab,SAR445229 - OX40L mAb,Ongoing,Phase 3,High,BiC,,,amlitelimab,,OX40L mAb,OX40L,Biologics,ANT,Acquired,Blocking,SAR445229_IND006,FALSE,Celiac Disease,Celiac Disease,Phase 2,10007864,Celiac disease,Stopped,Immuno-inflammation,Gastroenterology,
SAR153191,Development,PHARMA,Kevzara,SAR153191 - IL6R mAb,Ongoing,LCM,Standard,Little / Uncertain differentiation,,,sarilumab,Kevzara,IL6R mAb,IL6R,Biologics,ANT,Licensed,Inhibition,SAR153191_IND010,FALSE,Chronic Non Infectious Uveitis,,,10046851,Uveitis,Stopped,Immuno-inflammation,,
SP0202,Development,VACCINE,PCV21,Streptococcus pneumoniae conjugate vaccine,Ongoing,Phase 3,High,Little / Uncertain differentiation,,,,,Active immunization,,Biologics,GCV,Licensed,,SP0202_IND005,FALSE,Streptococcus pneumoniae disease - Pediatric - China,S. pneumoniae disease - Ped - CN,Initiation,10092606,Invasive pneumococcal disease,Ongoing,Vaccines,PMED_Pneumo Meningitis,0.59
SAR445761,Development,PHARMA,Rezurock ,SAR445761 - ROCK2 sm,Ongoing,LCM,Standard,FiC,,,belumosudil,Rezurock ,ROCK2 sm,ROCK2,Synthetic,SM,Acquired,Inhibition,SAR445761_IND004,FALSE,3L Chronic Graft versus Host Disease - Ped - 1-17 years,3L cGvHD – Ped,Phase 2,10018651,Graft versus host disease,Ongoing,Transplant,Transplant (Hemato),0.325
LC81668,Research,PHARMA,CD40L x PD1 Hybrid (LC81668),LC81668 - CD40L x PD1 Hybrid,Ongoing,M0-M1,Regular Priority,FiC,,,,,CD40L x PD1 Hybrid,CD40LxPD1,Biologics,HYB,Internal,Modulation,LC81668_IND001,TRUE,Transplantation,Transplant,,10057677,Transplant,Ongoing,Transplant,Transplant (Solid Organs),
XC01158,Research,PHARMA,STAT6 sm - Degrader (XC01158),XC01158 - STAT6 sm - Degrader,Completed,M1-M2,High Priority,FiC,SAR448272,SAR448272,,,STAT6 sm - Degrader,STAT6 Degrader,Synthetic,SM,Licensed,Degradation,XC01158_IND001,TRUE,Atopic Dermatitis,AD,,10012438,Dermatitis atopic,Completed,Immuno-inflammation,Dermatology,
LC80484,Research,PHARMA,NLRP3 sm (LC80484),LC80484 - NLRP3 sm,Completed,M1-M2,High Priority,BiC,SAR447387,SAR447387,,,NLRP3 sm,NLRP3,Synthetic,SM,Internal,Inhibition,LC80484_IND003,,Parkinson's Disease,Parkinson,,10001896,Alzheimer's disease,Completed,,,
HOE901,Development,PHARMA,Lantus/Toujeo,HOE901 - Insulin glargine,Completed,LCM,Standard,LCM project,,,,Lantus/Toujeo,Insulin glargine,Insulin glargine,Biologics,INS,Internal,Mimetism,HOE901_IND001,FALSE,Toujeo - T1DM - U300 - Pediatric Children and Adolescents - Labeling update,T1DM - U300 - Ped,LCM,10067584,Type 1 diabetes mellitus,Completed,DCVM,,1
AVE0010-1,Development,PHARMA,Soliqua,AVE0010-1 - Combo GLP1R peptide - Insulin Glargine,Completed,LCM,Standard,Little / Uncertain differentiation,,,Insulin Glargine/Lixisenatide,Soliqua,Combo GLP1R peptide - Insulin Glargine,GLP1R x Insulin glargine,Synthetic,PEP,Licensed,Agonism,AVE0010-1_IND003,FALSE,Lixilan - T2DM - Basal - SC - China,T2DM Basal - CN - SC,LCM,10067585,Type 2 diabetes mellitus,Completed,DCVM,T1 & T2 Diabetes,0.97
LC81113,Research,PHARMA,Multi KRAS sm (LC81113),LC81113 - Multi KRAS sm,Ongoing,M1-M2,Regular Priority,BiC,,,,,Multi KRAS sm,Multi KRAS,Synthetic,SM,Internal,Inhibition,LC81113_IND003,,Pancreatic Carcinoma,Pancreatic Carcinoma,,10033609,Pancreatic carcinoma,Ongoing,,,
SAR442970,Development,PHARMA,brivekimig,SAR442970 - TNFa x OX40L Nanobody VHH,Ongoing,Phase 2B,GATE,FiC,XC01135,XC01135,brivekimig,,TNFa x OX40L Nanobody VHH,TNFa xOX40L,Biologics,NBDY,Internal,Blocking,SAR442970_IND004,FALSE,Crohn's Disease,Crohn,Phase 2,10011401,Crohn's disease,Ongoing,Immuno-inflammation,Gastroenterology,0.24
LC81671,Research,PHARMA,CD80 x CD28 Hybrid (LC81671),LC81671 - CD80 x CD28 Hybrid,Ongoing,M0-M1,Regular Priority,FiC,,,,,CD80 x CD28 Hybrid,CD80xCD28,Biologics,HYB,Internal,Antagonism,LC81671_IND003,,Inflammatory Bowel Disease,IBD,,10021972,Inflammatory bowel disease,Ongoing,,,
SAR449028,Development,PHARMA,WT KIT,SAR449028 - Wild Type KIT sm,Ongoing,Phase 2A,GATE,BiC,,,,,Wild Type KIT sm,WT KIT,Synthetic,SM,Acquired,Inhibition,SAR449028_IND001,TRUE,Chronic Urticaria,Chronic Urticaria,Phase 2A,10052568,Urticaria chronic,Ongoing,Immuno-inflammation,Dermatology,0.13
LC81414,Research,PHARMA,IL10R Nanobody VHH (LC81414),LC81414 - IL10R Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL10R Nanobody VHH,IL10R VHH,Biologics,NBDY,Licensed,Agonism,LC81414_IND006,,Asthma,Asthma,,10003553,Asthma,Ongoing,,,
LC81688,Research,PHARMA,ST2 x TSLP Nanobody VHH (LC81688),LC81688 - ST2 x TSLP Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,ST2 x TSLP Nanobody VHH,ST2xTSLP,Biologics,NBDY,Internal,Antagonism,LC81688_IND003,,Eosinophilic Esophagitis,EoE,,10064212,Eosinophilic oesophagitis,Ongoing,,,
XRP6976,Development,PHARMA,Taxotere,XRP6976 - Tubulin  inh.,Completed,LCM,Standard,LCM project,,,docetaxel,Taxotere,Tubulin  inh.,Tubulin,Synthetic,SM,Licensed,Inhibition,XRP6976_IND004,FALSE,Nasopharyngeal Carcinoma,,LCM,10061306,Nasopharyngeal cancer,Completed,Oncology,,1
GZ402673,Development,PHARMA,Lemtrada,GZ402673 - Anti-CD52 mAb,Completed,LCM,Standard,LCM project,,,alemtuzumab,Lemtrada,Anti-CD52 mAb,CD52,Biologics,ANT,Acquired,Binding,GZ402673_IND007,FALSE,Chronic Lymphocytic Leukemia - Japan,,LCM,10008958,Chronic lymphocytic leukaemia,Completed,Oncology,,1
LC81140,Research,PHARMA,DMPK RNAi AAV (LC81140),LC81140 - DMPK RNAi AAV,Completed,M1-M2,High Priority,FiC,SAR446268,SAR446268,,,DMPK RNAi AAV,DMPK RNAi AAV,Biologics,AAV GT,Internal,Knockdown,LC81140_IND001,TRUE,Myotonic Dystrophy Type 1,DM1,,10068871,Myotonic dystrophy,Completed,Rare Diseases,,
HOE901,Development,PHARMA,Lantus/Toujeo,HOE901 - Insulin glargine,Completed,LCM,Standard,LCM project,,,,Lantus/Toujeo,Insulin glargine,Insulin glargine,Biologics,INS,Internal,Mimetism,HOE901_IND018,FALSE,Lantus Titration App,,,10012594,Diabetes,Stopped,DCVM,,
SAR441566,Development,PHARMA,balinatunfib,SAR441566 - TNFa sm - TNFR1 signaling inhibition,Ongoing,Phase 2,Medium,FiC,LC81095,LC81095,balinatunfib,,TNFa sm - TNFR1 signaling inhibition,TNFR1si,Synthetic,SM,Internal,Inhibition,SAR441566_IND004,TRUE,Crohn's Disease,Crohn,Phase 2,10011401,Crohn's disease,Ongoing,Immuno-inflammation,Gastroenterology,0.14
LC81424,Research,PHARMA,IL17A sm - Next Generation (LC81424),LC81424 - IL17A sm - Next Generation,Ongoing,M1-M2,High Priority,BiC,,,,,IL17A sm - Next Generation,IL17A Next Gen,Synthetic,SM,Internal,Antagonism,LC81424_IND002,,Psoriasis,Psoriasis,,10037153,Psoriasis,Ongoing,,,
LC81685,Research,PHARMA,TSLP x OX40L Nanobody VHH (LC81685),LC81685 - TSLP x OX40L Nanobody VHH,Ongoing,M1-M2,Regular Priority,FiC,SAR449468,SAR449468,,,TSLP x OX40L Nanobody VHH,TSLPxOX40L,Biologics,NBDY,Internal,Antagonism,LC81685_IND004,,Bullous Pemphigoid,BP,,10034277,Pemphigoid,Ongoing,,,
LC81690,Research,PHARMA,SIRPa x TIM3 Hybrid (LC81690),LC81690 - SIRPa x TIM3 Hybrid,Ongoing,M0-M1,Regular Priority,FiC,,,,,SIRPa x TIM3 Hybrid,SIRPa xTIM3,Biologics,HYB,Internal,Agonism,LC81690_IND003,,Crohn's Disease,Crohn,,10011401,Crohn's disease,Ongoing,,,
SAR442168,Development,PHARMA,Cenrifki,SAR442168 - BTK sm - Central,Ongoing,Regulatory submission,Medium,BiC,,,tolebrutinib,Cenrifki,BTK sm - Central,BTK central,Synthetic,SM,Acquired,Inhibition,SAR442168_IND004,FALSE,Myasthenia Gravis - Adult & Ped -  12-17 years,MG,Phase 3,10028417,Myasthenia gravis,Stopped,Neurology,Neuro-inflammation,
LC80484,Research,PHARMA,NLRP3 sm (LC80484),LC80484 - NLRP3 sm,Completed,M1-M2,High Priority,BiC,SAR447387,SAR447387,,,NLRP3 sm,NLRP3,Synthetic,SM,Internal,Inhibition,LC80484_IND004,,Amyotrophic Lateral Sclerosis,ALS,,10002026,Amyotrophic lateral sclerosis,Completed,,,
LC81410,Research,PHARMA,BTKi sm - Next Generation (LC81410),LC81410 - BTKi sm - Next Generation,Ongoing,M1-M2,Regular Priority,BiC,,,,,BTKi sm - Next Generation,BTKi Next Gen,Synthetic,SM,Licensed,Inhibition,LC81410_IND001,TRUE,Multiple Sclerosis,MS,,10028245,Multiple sclerosis,Ongoing,Neurology,Neuro-inflammation,
GZ393590,Development,PHARMA,Clolar/Evoltra,GZ393590 - Purine nucleoside analog,Completed,LCM,Standard,LCM project,,,clofarabine,Clolar/Evoltra,Purine nucleoside analog,Purine nucleoside,Synthetic,SM,Acquired,Mimetism,GZ393590_IND001,TRUE,Acute Lymphoblastic Leukemia Pediatric,ALL - Ped,LCM,10000845,Acute lymphoblastic leukemia,Completed,Oncology,Other Heme Malignancies,1
LC81659,Research,PHARMA,TL1A x IL23p19 mAb (LC81659),LC81659 - TL1A x IL23p19 mAb,Completed,M1-M2,Regular Priority,BiC,SAR448681,SAR448681,,,TL1A x IL23p19 mAb,TL1AxIL23p19,Biologics,ANT,Licensed,Inhibition,LC81659_IND001,TRUE,Ulcerative Colitis,UC,,10009900,Colitis ulcerative,Completed,Immuno-inflammation,Gastroenterology,
SAR440340,Development,PHARMA,itepekimab,SAR440340 - IL33 mAb,Ongoing,Phase 3,Medium,FiC,,,itepekimab,,IL33 mAb,IL33,Biologics,ANT,Licensed,Antagonism,SAR440340_IND003,FALSE,Atopic Dermatitis,AD,Phase 2B,10012438,Dermatitis atopic,Stopped,Immuno-inflammation,,
LC81311,Research,PHARMA,ITK x TXK sm (LC81311),LC81311 - ITK x TXK sm,Ongoing,M1-M2,Regular Priority,FiC,SAR449598,SAR449598,,,ITK x TXK sm,ITK x TXK,Synthetic,SM,Internal,Inhibition,LC81311_IND002,,Hidradenitis Suppurativa,HS,,10020041,Hidradenitis suppurativa,Ongoing,,,
LC81402,Research,PHARMA,IRF4 sm (LC81402),LC81402 - IRF4 sm,Ongoing,M0-M1,Regular Priority,FiC,,,,,IRF4 sm,IRF4,Synthetic,SM,Internal,Inhibition,LC81402_IND001,TRUE,Inflammatory Bowel Disease,IBD,,10021972,Inflammatory bowel disease,Ongoing,Immuno-inflammation,Gastroenterology,
SAR447287,Development,PHARMA,IL13xIL4xOX40L,SAR447287 - IL13 x IL4 x OX40L mAb,Ongoing,Preclinical,GATE,FiC,LC81159,LC81159,,,IL13 x IL4 x OX40L mAb,IL13xIL4xOX40L,Biologics,ANT,Internal,Blocking,SAR447287_IND001,TRUE,Atopic Dermatitis,AD,Preclinical,10012438,Dermatitis atopic,Ongoing,Immuno-inflammation,Dermatology,0.09
XRP6976,Development,PHARMA,Taxotere,XRP6976 - Tubulin  inh.,Completed,LCM,Standard,LCM project,,,docetaxel,Taxotere,Tubulin  inh.,Tubulin,Synthetic,SM,Licensed,Inhibition,XRP6976_IND002,FALSE,Squamous Cell Carcinoma of the Head and Neck - China,,,10067821,Head and neck cancer,Stopped,Oncology,,
SAR446681,Development,PHARMA,Tzield,SAR446681 - CD3 mAb,Ongoing,LCM,Medium,FiC,,,teplizumab,Tzield,CD3 mAb,CD3,Biologics,ANT,Acquired,Immune modulation,SAR446681_IND001,TRUE,"Type 1 diabetes, Stage 2 - Delay of Onset",T1D Stage 2 Delay Onset,LCM,10091458,Type 1 diabetes mellitus stage 2,Ongoing,DCVM,T1 Diabetes,1
LC81422,Research,PHARMA,NLRP3 sm - Next Generation (LC81422),LC81422 - NLRP3 sm - Next Generation,Ongoing,M1-M2,Regular Priority,BiC,,,,,NLRP3 sm - Next Generation,NLRP3 Next Gen,Synthetic,SM,Internal,Inhibition,LC81422_IND004,,Myotonic Dystrophy Type 1,DM1,,10068871,Myotonic dystrophy,Ongoing,,,
LC81237,Research,PHARMA,NKG2D x IL4 x IL13 mAb (LC81237),LC81237 - NKG2D x IL4 x IL13 mAb,Completed,M1-M2,High Priority,BiC,SAR447754,SAR447754,,,NKG2D x IL4 x IL13 mAb,NKG2DxIL4xIL13,Biologics,ANT,Internal,Blocking,LC81237_IND004,,Eosinophilic Esophagitis,EoE,,10064212,Eosinophilic oesophagitis,Completed,,,
LC81675,Research,PHARMA,IL5 x TL1A mAb (LC81675),LC81675 - IL5 x TL1A mAb,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL5 x TL1A mAb,IL5xTL1A,Biologics,ANT,Internal,Antagonism,LC81675_IND001,TRUE,Asthma,Asthma,,10003553,Asthma,Ongoing,Immuno-inflammation,Respiratory,
LC81159,Research,PHARMA,IL13 x IL4 x OX40L mAb (LC81159),LC81159 - IL13 x IL4 x OX40L mAb,Completed,M1-M2,Regular Priority,FiC,SAR447287,SAR447287,,,IL13 x IL4 x OX40L mAb,IL13xIL4xOX40L,Biologics,ANT,Internal,Blocking,LC81159_IND001,TRUE,Atopic Dermatitis,AD,,10012438,Dermatitis atopic,Completed,Immuno-inflammation,,
